,,,
Category,Term,Complete Form,Definition
MILITARY & COMMERCIAL TERM,3PL,Third Party Logistics,"It refers to the outsourcing of a company's logistics operations, such as warehousing, transportation, and fulfillment, to a specialized external provider."
MILITARY & COMMERCIAL TERM,A/N,Arrival Notice,It is a document that informs the consignee that their cargo is about to arrive at the destination port or terminal.
MILITARY & COMMERCIAL TERM,ACE,Automated Commercial Environment,"It is a systm that handles various aspects of trade processing, including manifests, cargo release, post-release procedures, export operations, and interactions with Partner Government Agencies."
MILITARY & COMMERCIAL TERM,AES,Automated Export System,It is a system used by the U.S. government to collect data on exports.
MILITARY TERM,AFRICOM,Unites States Africa Command,"It is one of the eleven U.S. Department of Defense combatant commands, specifically focused on military relations and operations within the African continent (excluding Egypt)."
MILITARY & COMMERCIAL TERM,ALCON,All Concerned,It is commonly used in email correspondence and other written communication to indicate that a message is intended for a broad group of individuals.
MILITARY TERM,ALD,Available Loading Date,It is the date when a unit is prepared to begin loading onto transportation assets at the point of embarkation.
MILITARY & COMMERCIAL TERM,ALL-IN,All Inclusive Rate,It is a freight rate that is inclusive of all charges.
MILITARY & COMMERCIAL TERM,AMS,Automated Manifest System,It is a system used to electronically transmit cargo information for shipments entering the United States.
MILITARY & COMMERCIAL TERM,AOR,Area of Responsibility,"It is a defined geographic area where a particular entity, such as a carrier or freight forwarder, is accountable for the safe and timely delivery of goods."
MILITARY TERM,ARCENT,United States Army Central,It is a major subordinate command of U.S. Central Command which serves as the Army Service Component Command for CENTCOM and is responsible for land forces operations in the CENTCOM area of responsibility.
MILITARY TERM,ASCC,Army Service Component Command,It is a key operational-level organization within the United States Army's structure.
MILITARY & COMMERCIAL TERM,ATA,Actual Time of Arrival,It refers to the precise moment a vessel or cargo shipment arrives at its designated destination.
MILITARY & COMMERCIAL TERM,ATD,Actual Time of Departure,It refers to the precise time a vessel or cargo actually leaves the origin point.
MILITARY & COMMERCIAL TERM,AWB,Air Waybill,"It is a crucial document that serves as a contract of carriage between a shipper and an air cargo carrier, acting as a receipt for the goods, detailing shipment information, and providing a tracking number."
MILITARY & COMMERCIAL TERM,B/N,Booking Note,"It is a document that confirms a reservation for shipping goods, outlining the terms of the agreement between a shipper and a shipping line."
MILITARY & COMMERCIAL TERM,BAF,Bunker Adjustment Factor,"It is a surcharge added to the base freight rate to account for fluctuations in fuel costs, specifically the cost of ""bunkers"" (fuel used to power ships)."
COMMERCIAL TERM,BB,Break Bulk,"It is a non-containerized general cargo stored in boxes, bales, pallets or other units to be loaded onto or discharged from ships"
COMMERCIAL TERM,BDL,Bundle,It refers to a group of items purchased together by a single customer and shipped as a single package.
COMMERCIAL TERM,BLS,Bales,"It refers to cargo that have been compressed and tightly bundled into a compact package for easier handling, storage, and transportation."
MILITARY & COMMERCIAL TERM,BLUF,Bottom Line Up Front,"It is a communication strategy where the most critical information or main point of a message is presented at the very beginning, followed by supporting details or context."
MILITARY & COMMERCIAL TERM,BOL,Bill of Lading,It is a document issued by a carrier or their agent acknowledging receipt of cargo for shipment.
MILITARY & COMMERCIAL TERM,C/I,Commercial Invoice,"It is a detailed document used in international trade to declare the value and description of goods being shipped, serving as a customs declaration and a request for payment from the buyer."
COMMERCIAL TERM,C/P,Charter Party,It is a legal contract outlining the terms of hiring a vessel for the transportation of goods.
MILITARY & COMMERCIAL TERM,CAF,Currency Adjustment Factor,It is a surcharge added by shipping lines to account for fluctuations in exchange rates between the currency used for freight rates and the carrier's operating currency.
MILITARY & COMMERCIAL TERM,CARE,Carrier Analysis and Rate Evaluation,It is the process of selecting and assessing transportation providers based on a comprehensive review of their costs and performance.
MILITARY & COMMERCIAL TERM,CBM,Cubic Meter,It is a unit of volume used to measure the amount of space a shipment occupies.
MILITARY TERM,CBP,United States Customs and Border Protection,"It is the unified border agency responsible for managing and controlling the borders of the United States, including customs, immigration, and agricultural protection."
MILITARY TERM,CDS,Cargo Data Sheet,"It is a document that provides detailed information about the potential hazards and safe handling procedures for specific cargo, especially hazardous materials."
MILITARY TERM,CENTCOM,United States Central Command,"It is a geographic combatant command responsible for operations in the Middle East, Central Asia, and parts of North Africa."
COMMERCIAL TERM,CEPA,Comprehensive Economic Partnership Arrangement,"These agreements are trade deals between two or more countries designed to eliminate or reduce trade barriers, such as tariffs and customs duties, and promote economic cooperation."
MILITARY & COMMERCIAL TERM,CFR,Cost and Freight,It is an Incoterm where the seller is responsible for the cost of goods and the freight charges to transport them to a named port of destination.
COMMERCIAL TERM,CFS,Container Freight Station,It is a facility where cargo is consolidated (combined) or deconsolidated (separated) before or after being shipped in containers.
COMMERCIAL TERM,CHOPT,Charterer's Option,"It indicates that the charterer (the party hiring the vessel) has the right to make a choice regarding some aspect of the charter, such as the quantity of cargo to be loaded or the number of ports to be visited. 
"
COMMERCIAL TERM,CIF,"Cost, Insurance and Freight","It is an Incoterm where the seller is responsible for the cost of goods, insurance, and freight (shipping) up to the destination port."
COMMERCIAL TERM,CIP,Carriage and Insurance Paid To,"It is an Incoterm where the seller is responsible for arranging and paying for the main carriage of goods to a named destination, and also for providing broad insurance coverage against loss or damage during transit."
COMMERCIAL TERM,CKD,Completely Knocked Down.,"It refers to a product, often vehicles or machinery, that is shipped in a fully disassembled state, as a kit of parts."
COMMERCIAL TERM,CLP,Container Load Plan,"It is a detailed layout of how cargo is arranged within a shipping container, crucial for efficient space utilization, weight distribution, and safety."
MILITARY & COMMERCIAL TERM,CNEE,Consignee,It is the individual or entity listed on the shipping documents as the receiver of the goods.
MILITARY & COMMERCIAL TERM,COC,Carrier Owned Container,It refers to a shipping container that is owned and managed by a shipping line or carrier.
MILITARY & COMMERCIAL TERM,COD,Change of Destination,It refers to altering the final delivery location of a shipment after the Bill of Lading has been issued
MILITARY & COMMERCIAL TERM,COGSA,Carriage of Goods by Sea Act,"It is a 1936 United States federal law that establishes the rights, liabilities, and immunities of ocean carriers and shippers for cargo transported to or from the U.S. in exchange for bills of lading."
MILITARY TERM,COMSEC,Communications Security,It refers to the measures taken to protect military communications from unauthorized access and exploitation by adversaries.
COMMERCIAL TERM,CONRO,Container Roll On/Roll Off,It is a type of vessel that combines the features of a container ship and a Roll-on/Roll-off (RoRo) ship.
MILITARY TERM,CONUS,Continental United States,"It is a United States territory, including the adjacent territorial waters, located within North America between Canada and Mexico."
MILITARY & COMMERCIAL TERM,COO,Certificate of Origin,It is a document certifying where goods were originally made.
MILITARY & COMMERCIAL TERM,COV,Change of Vessel,It refers to the process of transferring cargo from one ship to another during its journey.
COMMERCIAL TERM,CPT,Carriage Paid To,"It is an Incoterm where the seller is responsible for arranging and paying for the transportation of goods to a specified destination, while the risk of loss or damage transfers to the buyer once the goods are handed over to the first carrier."
COMMERCIAL TERM,CSC,Container Service Charge,It is a fee charged by carriers to cover the costs associated with handling and maintaining containers used in the transportation of goods.
COMMERCIAL TERM,CY,Container Yard,"It is a designated area, typically within a port or terminal, used for storing and handling shipping containers, both full and empty, before or after they are loaded onto or unloaded from a vessel."
COMMERCIAL TERM,D/O,Delivery Order,It is a document that authorizes the release and delivery of goods to the consignee or their authorized representative.
MILITARY & COMMERCIAL TERM,D2D,Door to Door,It refers to a shipping service where the cargo is collected from the sender's location and delivered directly to the recipient's location.
COMMERCIAL TERM,DAP,Delivered At Place,It is an Incoterm where the seller is responsible for all costs and risks associated with delivering goods to a named place (usually the buyer's location).
MILITARY & COMMERCIAL TERM,DC,Dry Container,"It is a standard, non-refrigerated shipping container used for transporting general cargo that does not require temperature control."
MILITARY & COMMERCIAL TERM,DD,Dry Dock,"It is a narrow basin, either excavated or built, that can be flooded to allow a ship to enter and then drained to allow for inspection and repair of the ship's hull and other underwater components."
COMMERCIAL TERM,DDC,Destination Delivery Charge,It is a fee charged by carriers to cover the costs of delivering goods from the port or terminal to their final destination.
COMMERCIAL TERM,DDP,Delivered Duty Paid,"It is an Incoterm where the seller is responsible for all costs and risks associated with delivering goods to a specified location, including import duties, taxes, and other charges."
MILITARY TERM,DDST,Deployment and Distribution Support Team,"These teams are designed to assist units during deployment and redeployment processes, focusing on enhancing the accuracy of processing, streamlining reviews, and reducing delays in the movement of personnel and equipment."
COMMERCIAL TERM,DDU,Delivered Duty Unpaid,"It is an Incoterm where the seller is responsible for delivering goods to a specified location, but the buyer is responsible for paying import duties, taxes, and other customs charges."
MILITARY & COMMERCIAL TERM,DEM,Demurrage,"It refers to charges incurred when a container is held at a port or terminal beyond the agreed-upon free time, typically after it's been unloaded from a ship."
MILITARY & COMMERCIAL TERM,DEV,Deviation,"It refers to a ship's departure from its agreed-upon or customary route. This can be a voluntary and unjustified departure, potentially leading to a breach of contract."
MILITARY & COMMERCIAL TERM,DG,Dangerous Goods,"These are items or substances that can pose a risk to health, safety, property, or the environment during transportation."
MILITARY & COMMERCIAL TERM,DGE,Dunnage,It refers to materials used to protect and secure cargo during transportation.
MILITARY & COMMERCIAL TERM,DGR,Dangerous Goods Regulations,"The rules and guidelines that govern the safe transportation of hazardous materials by air, sea, and land."
MILITARY TERM,DISA,Defense Information Systems Agency,"It is the Department of Defense combat support agency responsible for providing the global network infrastructure, communications, and information sharing capabilities for the military."
MILITARY & COMMERCIAL TERM,DISTRO,Distribution List,"It refers to a single email address that represents a group of recipients, allowing you to send an email to everyone on the list at once."
COMMERCIAL TERM,DND,Detention and Demurrage,"Demurrage is charged when a container is held at a port or terminal past the free time, while detention is charged when a container is held by the customer outside the port or terminal area beyond the free time."
MILITARY TERM,DOD,Department of Defense,It is the United States federal government agency responsible for all matters related to the national security and the armed forces.
MILITARY TERM,DODAAC,Department of Defense Activity Address Code,"It is a unique six-position, alphanumeric code used to identify a unit, activity, or organization within the Department of Defense."
MILITARY TERM,DODAAD,Department of Defense Activity Address Directory,It is an interactive database table that provides a single authoritative source of address information for Deparment of Defense Component requirements.
MILITARY TERM,DRAP,Deficit Reduction Action Plan,It refers to a plan focused on reducing the deficit by eliminating low-priority activities and generating savings through more efficient operations.
MILITARY TERM,DSN,Defense Switched Network,"It is a worldwide, secure, and non-secure voice, data, and video teleconferencing network used by the Department of Defense (DoD) for command and control, operations, and other critical communications."
MILITARY & COMMERCIAL TERM,EDI,Electronic Data Interchange,"The electronic transmission of shipping documents such as invoices, purchase orders and bills of lading."
COMMERCIAL TERM,EFAF,Emergency Fuel Adjustment Factor,"It is a surcharge applied by shipping carriers to offset sudden and significant increases in fuel costs, especially when a standard Bunker Adjustment Factor (BAF) is not sufficient to cover the added expenses."
MILITARY & COMMERCIAL TERM,EOSP,End of Sea Passage,"It signifies the precise moment a vessel completes its voyage and arrives at its destination port, marking the end of its underway period."
COMMERCIAL TERM,ERS,Equipment Repositioning Surcharge,It is a fee charged by shipping lines to cover the costs of moving empty containers back to areas where they are needed.
MILITARY & COMMERCIAL TERM,ETA,Estimated Time of Arrival,It is a predicted date and time when a shipment or vessel is expected to reach its destination.
MILITARY & COMMERCIAL TERM,ETB,Estimated Time of Berthing,It signifies the anticipated time a ship is expected to dock at a port or terminal.
MILITARY & COMMERCIAL TERM,ETD,Estimated Time of Departure,It is a predicted date and time when a shipment or vessel is expected to sail from its origin.
MILITARY TERM,ETRR,Export Traffic Release Request,It is a document that grants permission for cargo to be loaded onto a specific vessel for export.
COMMERCIAL TERM,ETS,Emission Trading System,"it is a system designed to reduce greenhouse gas emissions from various sectors, including maritime shipping."
MILITARY & COMMERCIAL TERM,EWRS,Emergency War Risk Surcharge,"It is an additional fee added to shipping costs when vessels need to navigate through areas deemed high-risk due to war, conflict, or other security threats."
COMMERCIAL TERM,EXW,Ex-works,It is an incoterm that signifies the seller's responsibility is limited to making the goods available at their premises.
COMMERCIAL TERM,F/R,Flat Rack Container,It is a specialized shipping container designed for transporting oversized or heavy cargo that doesn't fit within standard containers.
MILITARY TERM,F1,Free In Free Out,"It means that the shipper is responsible for the loading costs, and the consignee is responsible for the unloading costs."
MILITARY TERM,F2,Liner In Liner Out,It means that the carrier is responsible for both loading the cargo onto the vessel at the origin port and unloading it at the destination port.
MILITARY TERM,F3,Free In Liner Out,"It means that the shipper is responsible for the cost of loading the cargo onto the vessel at the origin port, while the carrier is responsible for the cost of unloading the cargo at the destination port."
MILITARY TERM,F4,Liner In Free Out,It means that the freight rate includes the cost of loading the cargo onto the ship at the origin port and the consignee is responsible for the cost of unloading the cargo at the destination port.
MILITARY TERM,F5,Door-Liner In Free Out,"It means that the carrier is responsible for picking up the cargo from the shipper's designated location including the cost and handling of loading the cargo onto the vessel at the origin, while the consignee is responsible for the cost and handling of unloading the cargo at the destination."
MILITARY TERM,F6,Door-Liner In Liner Out,It means that the carrier is responsible for picking up the cargo from the shipper's designated location including the cost and handling of loading the cargo onto the vessel at the origin and the cost and handling of unloading the cargo at the destination.
MILITARY TERM,F7,Free In Liner Out-Door,It means that the shipper is responsible for the loading costs while the carrier is responsible for the cost of unloading the cargo at the destination port and delivering the cargo to consignee's designation location.
MILITARY TERM,F8,Liner In Liner Out-Door,It means that the carrier is responsible for loading the cargo onto the vessel at the origin port including the cost of unloading the cargo at the destination port and delivering the cargo to consignee's designation location.
MILITARY TERM,F9,Door-Liner In Liner Out-Door,"It encompasses all stages of the shipping process, from initial pick up of the cargo from shipper's designated location to final delivery at consignee's designated location, including necessary documentation and customs procedures."
COMMERCIAL TERM,FCA,Free Carrier,"It is an Incoterm where the seller is responsible for delivering the goods to a carrier (like a shipping company or freight forwarder) at a designated location, often the seller's premises or a named port."
COMMERCIAL TERM,FCL,Full Contatiner Load,It refers to a shipping method where a single shipper uses the entire container.
COMMERCIAL TERM,FCR,Forwarder's Cargo Receipt,It is a document issued by the freight forwarder or their agent to the shipper of the cargo. This document is issued when the shipment has been handed over to the freight forwarder.
MILITARY TERM,FCRP,Freight Carrier Registration Program,"It is a program primarily associated with the U.S. Department of Defense (DoD) and its transportation agencies, like the Military Surface Deployment and Distribution Command (SDDC). It streamlines the process for commercial freight carriers to become approved to transport freight for the DoD."
MILITARY TERM,FDA,Final Disbursement Account,It is a financial document detailing the actual costs incurred by a shipping agent for a vessel's port call.
COMMERCIAL TERM,FEU,Forty Foot Equivalent Unit,It is a standard unit of measurement used to express the capacity of a 40-foot shipping container.
COMMERCIAL TERM,FF,Freight Forwarder,"It is a company that acts as an intermediary between shippers and various transportation services to move goods, both domestically and internationally."
COMMERCIAL TERM,FIATA,International Federation of Forwarding Agent Associations,It is a non-governmental organization that represents freight forwarders and logistics companies globally.
MILITARY & COMMERCIAL TERM,FIFO,First In First Out,It is a method of managing loaded cargoes where the first cargo loaded are shipped out first.
MILITARY & COMMERCIAL TERM,FILO,First In Last Out,It is a method of managing loaded cargoes where the most recently received cargoes are the first to be shipped out.
COMMERCIAL TERM,FLT,Full Liner Terms,This term signifies that the shipping line assumes responsibility for all costs associated with loading and unloading cargo at both the port of origin and the destination.
MILITARY TERM,FMC,Federal Maritime Commission,It is an independent regulatory agency in the United States responsible for overseeing and regulating ocean-borne transportation in international trade.
MILITARY TERM,FMS,Foreign Military Sales,"It is a U.S. government program that enables eligible foreign governments to purchase defense articles, services, and training from the U.S. through government-to-government agreements."
COMMERCIAL TERM,FOB,Free On Board,It is a common term that designates when the responsibility and costs of goods transfer from the seller to the buyer during international trade.
COMMERCIAL TERM,FOC,Free of Charge,"It means that the cost of shipping is included in the purchase price of the goods, rather than being billed separately to the buyer."
MILITARY & COMMERCIAL TERM,FRT,Freight,"It refers to goods or cargo being transported in bulk, typically in large quantities, by various modes of transportation like trucks, trains, ships, or airplanes."
MILITARY TERM,FSTO,Forward Strategic Transportation Officer,They are the representative and key component to ensure that strategic lines of communication remain open to provide flexibility for commanders.
COMMERCIAL TERM,FTL,Full Truckload,"It refers to a shipping method where a single shipper's goods fill an entire truck, meaning the truck is dedicated to that one shipment from origin to destination without any other freight being added."
COMMERCIAL TERM,GENSET,Generator Set,It is a portable generator used to power refrigerated shipping containers (reefers) during transit when they are not connected to a stationary power source.
MILITARY TERM,GFM,Global Freight Management,It is a system used by the Department of Defense (DoD) for managing and procuring freight transportation services.
MILITARY TERM,GHQ,Genera Headquarters,It refers to the main or central military command center where a commander controls and organizes forces.
MILITARY & COMMERCIAL TERM,GW,Gross Weight,"It refers to the total weight of a shipment, including the weight of the goods, all packaging materials (like boxes, pallets, and wrapping), and any other materials used for transportation."
MILITARY & COMMERCIAL TERM,HAZMAT,Hazardous Materials,"These are substances or materials that pose an unreasonable risk to health, safety, and property during transportation."
MILITARY & COMMERCIAL TERM,HC,High Cube Container,"These containers are one foot taller than standard shipping containers, providing extra height and increased cargo capacity."
COMMERCIAL TERM,HH,High and Heavy,"It refers to larger, heavier items like trucks and construction equipment."
