,,,
COMMERCIAL TERM,HS,Harmonized System,It is an internationally accepted system used to classify products.
COMMERCIAL TERM,IBC,Intermediate Bulk Container,It is a versatile container used for transporting and storing bulk liquids and dry materials.
MILITARY TERM,IBS,Integrated Booking System,"It is a digital platform that connects various parties involved in the shipping process, such as carriers, freight forwarders, and logistics companies, to streamline and automate the booking process."
MILITARY & COMMERCIAL TERM,IMCO,Intergovernmental Maritime Consultative Organization,"It is a forum in which most major maritime nations participate and through which recommendations for the carriage of dangerous goods, bulk commodities and maritime regulations become internationally acceptable."
MILITARY & COMMERCIAL TERM,IMDG,International Maritime Dangerous Goods,It is a regulation established by the International Maritime Organization (IMO) for the international transport of dangerous goods.
COMMERCIAL TERM,IMO,International Maritime Organization,"It is a specialized agency of the United Nations responsible for regulating international shipping and ensuring its safety, security, and environmental protection."
COMMERCIAL TERM,INCOTERMS,International Commercial Terms,"These are set of rules that define the responsibilities of buyers and sellers in international and domestic trade transactions, particularly regarding the delivery of goods."
COMMERCIAL TERM,ISO,International Organization for Standardization,"These standards ensure consistency, security, and efficiency in international shipping by providing a framework for container dimensions, construction, and identification codes."
MILITARY & COMMERCIAL TERM,ISPM,International Standards for Phytosanitary Measures,It is a set of regulations designed to prevent the spread of pests and diseases through international trade via wooden packaging materials.
COMMERCIAL TERM,ISPS,International Ship and Port Facility Security Code,"It is a set of security measures designed to enhance maritime security by regulating and overseeing the movement of ships, crew, and cargo."
MILITARY & COMMERCIAL TERM,ITV,In-Transit Visibility,It refers to the ability to track and monitor the location and status of shipments as they move through the supply chain from origin to destination.
MILITARY TERM,JOC,Joint Operations Center,"It is a central hub where military personnel coordinate, plan, and monitor operations in real-time."
MILITARY & COMMERCIAL TERM,KG,Kilogram,"It is commonly used to measure the actual weight of cargo, as well as the volumetric weight when calculating shipping costs."
COMMERCIAL TERM,L/C,Letter of Credit,It is a written commitment by a bank issued after a request by an importer that payment will be made to an exporter.
COMMERCIAL TERM,L/G,Letter of Guarantee,"It is a document issued by a bank or financial institution. It assures the shipping company or carrier that the importer will fulfill their obligations, even if the original shipping documents (like the bill of lading) are delayed or not yet available."
COMMERCIAL TERM,LAYCAN,Laydays Cancelling,It is a term used to describe at which date or between which range of dates the vessel should be at the load port ready for loading.
COMMERCIAL TERM,LCL,Less Container Load,"It refers to a shipping method where your cargo shares space within a shipping container with other shipments from different shippers, rather than occupying the entire container."
MILITARY & COMMERCIAL TERM,LEW,Levy Exemption Waiver,This is a formal request to allow cargo to enter Iraq without having to pay a levy or tax on it.
MILITARY & COMMERCIAL TERM,LIFO,Last In First Out,It is an inventory management principle where the last item stored is the first to be retrieved.
MILITARY & COMMERCIAL TERM,LILO,Last In Last Out,It is a method of handling goods where the most recently loaded items are the first ones to be unloaded or shipped out.
MILITARY & COMMERCIAL TERM,LNB,Loaded Not Book,It is a shipment that was loaded onto a vessel but was not officially booked or documented to be on that specific voyage.
COMMERCIAL TERM,LOA,Letter of Authorization,It is a document that grants one party the authority to act on behalf of another for specific tasks related to a shipment.
MILITARY & COMMERCIAL TERM,LOB,Loaded on Board,"It is a confirmation that cargo has been physically placed onto a vessel for transportation and is a crucial notation on shipping documents, especially bills of lading."
COMMERCIAL TERM,LOI,Letter of Indemnity,"It is a legal document which essentially acts as a safety net, ensuring the indemnified party is not left bearing the consequences of unforeseen circumstances, often related to shipping documents or cargo handling."
COMMERCIAL TERM,LOLO,Lift On Lift Off,It is a cargo handling technique involving transfer of commodities to and from the ship using shoreside cranes or ship's gear.
COMMERCIAL TERM,LSS,Low Sulfur Surcharge,"It is a surcharge that is added to freight costs by shipping companies to offset the increased expense of using low-sulfur fuel, mandated by the International Maritime Organization (IMO)."
COMMERCIAL TERM,LTL,Less-Than-Truckload,"It refers to a shipping method where a freight shipment doesn't fill an entire truck, and is combined with other shipments to utilize the full capacity of the truck."
MILITARY & COMMERCIAL TERM,M/V,Mother Vessel,"It is a large cargo ship, typically a container ship, that operates on long-distance, major international shipping routes between major ports or transshipment hubs."
MILITARY & COMMERCIAL TERM,MHE,Material Handling Equipment,"It refers to the mechanical devices and systems used for moving, storing, and protecting goods and products in various environments like manufacturing and distribution."
MILITARY TERM,MOD,Ministry of Defence,"It refers to the government department responsible for the defense of a country, overseeing its armed forces and related matters."
MILITARY & COMMERCIAL TERM,MOFA,Ministry of Foreign Affairs,It is a government department responsible for managing a country's foreign policy and international relations.
MILITARY & COMMERCIAL TERM,MSDS,Material Safety Data Sheet,it is a crucial document in shipping that provides comprehensive information about the potential hazards of a substance and how to handle it safely.
MILITARY TERM,MSL,Military Shipment Label,These labels are used to identify shipments to the Department of Defense in a unique and immediately recognizable way.
MILITARY & COMMERCIAL TERM,MT,Metric Ton,It is the standard unit of mass used in international trade and shipping to measure the weight of cargo.
MILITARY TERM,NIPR,Non-classified Internet Protocol Router Network,"It is a secure computer network used for transmitting unclassified, but sensitive, information within the Department of Defense (DoD)."
MILITARY & COMMERCIAL TERM,NMFC,National Motor Freight Classification,It is a system that assigns a standard freight class to goods to determine their transportability and shipping cost.
MILITARY & COMMERCIAL TERM,NMFTA,National Motor Freight Traffic Association,"It is a non-profit membership organization provides critical services to the industry in the form of classification standards, identification codes, digital operating standards, and support for cybersecurity within the industry."
COMMERCIAL TERM,NVOCC,Non Vessel Operating Common Carrier,It is a company that acts as a carrier in the shipping industry without owning or operating the vessels themselves.
MILITARY & COMMERCIAL TERM,NW,Net Weight,"It refers to the actual weight of the cargo being shipped, excluding the weight of any packaging, containers, or other materials used for transportation."
MILITARY & COMMERCIAL TERM,O/F,Ocean Freight,It is the cost of transporting goods by sea.
MILITARY & COMMERCIAL TERM,OBL,Original Bill of Lading,It is a document that essentially acts as proof of ownership and is required for the consignee to claim the goods at the destination.
MILITARY TERM,OCCASWA,Ocean Cargo Clearance Authority Southwest Asia,"It is a party that books Department of Defense (DOD) sponsored cargo for surface movement, performs related contract administration, and accomplishes export and import surface traffic management functions."
MILITARY TERM,OCONUS,Outside Continental United States,It refers to any state or territory outside the continental United States.
COMMERCIAL TERM,ODM,Original Design Manufacturing,"It refers to a business model where a company designs and manufactures a product, which is then sold to other companies under their own brand names."
COMMERCIAL TERM,OEM,Original Equipment Manufacturer,It refers to a company that manufactures products based on the designs and specifications provided by another company.
COMMERCIAL TERM,OH,Overheight Cargo,"It refers to cargo or containers that exceed the standard height for normal shipments, requiring specialized handling and potentially different transportation methods."
COMMERCIAL TERM,OOG,Out of Gauge,It refers to a cargo that exceeds the standard dimensions of shipping containers.
COMMERCIAL TERM,OT,Open Top Container,"These are specialized shipping containers without a roof, typically covered with a tarpaulin, and used for cargo that is too tall or awkwardly shaped to fit inside a standard container."
MILITARY TERM,OTO,One Time Offer,It is related to the shipping of personal property for military personnel.
COMMERCIAL TERM,OW,Overweight Cargo,It refers to a cargo or containers that exceed the standard weight limit for a particular mode of transport or container type.
COMMERCIAL TERM,OWS,Overweight Surcharge,It is an additional fee applied by shipping companies when a package or container exceeds the standard weight limit.
MILITARY & COMMERCIAL TERM,P/L,Packing List,"It is a detailed document that itemizes the contents of a shipment, providing information about the quantity, weight, dimensions, and packaging of each item."
MILITARY & COMMERCIAL TERM,P2P,Port to Port,"It refers to the transportation of goods, typically in shipping containers, between two seaports."
MILITARY TERM,PACOM,United States Indo-Pacific Command,"It is a geographic combatant command responsible for the Indo-Pacific region and its primary mission is to protect and defend U.S. interests, people, and territory within its area of responsibility."
COMMERCIAL TERM,PCC,Pure Car Carrier,"It is a specialized type of ship designed to transport vehicles, primarily cars, in a safe and efficient manner."
MILITARY TERM,PCFN,Port Call File Number,"It is a unique identifier assigned to a booking in the Integrated Booking System, specifically for sealift."
COMMERCIAL TERM,PCTC,Pure Car and Truck Carrier,It is a vessel constructed for the carriage of cars and trucks only and is a specialised version of a Roll-On Roll-Off ship.
MILITARY & COMMERCIAL TERM,PKG,Package,"It refers to a bundled quantity of goods, often a collection of items, that are packed and wrapped together for transport."
MILITARY & COMMERCIAL TERM,PLT,Pallet,"It is a platform, often made of wood, plastic, or metal, used to unitize and stabilize freight for easy handling, storage, and transportation."
MILITARY & COMMERCIAL TERM,PO,Purchase Order,"It is a commercial document issued by a buyer to a seller, indicating the types, quantities, and agreed prices for products or services."
MILITARY & COMMERCIAL TERM,POC,Point Of Contact,The designated individual or department that serves as the primary liaison for communication and information regarding a shipment.
MILITARY & COMMERCIAL TERM,POD,Port of Discharge,"The designated port where a vessel unloads its cargo, marking the end of the sea transportation phase and the beginning of land-based operations."
MILITARY & COMMERCIAL TERM,POE,Port of Embarkation,The specific seaport where cargo or passengers board a vessel for a journey.
MILITARY & COMMERCIAL TERM,POR,Place of Receipt,It is the specific location where the carrier takes physical possession of the goods from the shipper.
COMMERCIAL TERM,POV,Privately Owned Vehicle,"It refers to the process of shipping a personal vehicle, often when relocating or when the vehicle needs to be transported to a new location."
MILITARY & COMMERCIAL TERM,PSS,Peak Season Surcharge,"It is a surcharge that helps carriers manage increased costs associated with higher shipping volumes, congestion, and limited space."
COMMERCIAL TERM,PTL,Partial Truckload,"It refers to a freight shipping method where a shipper's cargo occupies a portion of a truck's trailer, but not the entire space."
MILITARY & COMMERCIAL TERM,QA,Quality Assurance,"It is a program of activities, including inspections and assessments, designed to ensure that the quality of contracted services, purchased equipment, and institutional training programs meet established standards and contractual requirements."
MILITARY & COMMERCIAL TERM,QC,Quality Control,It refers to the contractor's process for managing and ensuring that their own activities and those of their subcontractors and suppliers meet contract requirements for quality.
COMMERCIAL TERM,R/C,Re-consignment,"It refers to changing the delivery instructions of a shipment after it has already been tendered to a carrier, but before it reaches its final destination."
COMMERCIAL TERM,R/T,Revenue Ton,"It is a unit used to calculate freight charges, particularly for bulk cargo. It represents either the weight or the volume of the shipment, whichever results in a higher charge."
MILITARY & COMMERCIAL TERM,RDD,Required Delivery Date,It is the date a customer expects a cargo to be delivered.
MILITARY TERM,REA,Request for Equiptable Adjustment,It is an official request from a contractor to a contracting officer asking for an equitable change to the contract price.
COMMERCIAL TERM,RF,Reefer / Refrigerated Container,"It is a specialized shipping container designed to transport temperature-sensitive goods, like food or pharmaceuticals, by maintaining a specific temperature and humidity level."
MILITARY & COMMERCIAL TERM,RFQ,Request for Quotation,It is a formal document that outlines specific shipping requirements and invites shipping companies to submit detailed price quotes.
MILITARY & COMMERCIAL TERM,ROB,Remaining on Board,"It refers to the quantity of cargo, fuel, or other materials remaining in a ship's tanks or systems after a discharge or delivery operation."
COMMERCIAL TERM,RORO,Roll On Roll Off,"These are vessels designed to carry wheeled cargo, such as vehicles and trailers."
COMMERCIAL TERM,RTE,Route,"This refers to the navigating lanes, both natural and man-made, in wide waterways (oceans, lakes…) used by large vessels to connect major ports and carry cargo."
COMMERCIAL TERM,S/O,Shipping Order,It is a document issued by a carrier (or their agent) to confirm that space has been booked for cargo on a specific vessel. The SO serves as a confirmation of the booking and provides essential details for the shipment.
MILITARY & COMMERCIAL TERM,SCAC,Standard Carrier Alpha Code,It is a unique two-to-four-letter identification code assigned to registered freight carriers and logistics companies by the National Motor Freight Traffic Association (NMFTA).
MILITARY TERM,SDDC,Military Surface Deployment and Distribution Command,"It is a unique Army command that focuses on the global deployment and distribution of military forces and material, primarily through surface transportation."
MILITARY & COMMERCIAL TERM,SDS,Safety Data Sheet,It is a crucial document in shipping that provides comprehensive information about the properties and potential hazards of a substance or product.
COMMERCIAL TERM,SI,Shipping Instruction,"This is a detailed guideline provided by a shipper to a carrier or freight forwarder, outlining how a shipment should be handled and transported."
COMMERCIAL TERM,SKD,Semi Knocked Down,"It is a method where goods, often vehicles or large appliances, are partially assembled at the origin and then shipped in components or modules to be fully assembled at the destination."
COMMERCIAL TERM,SN,Shipping Note,It is a document that provides detailed information about a shipment of goods.
COMMERCIAL TERM,SOB,Shipped On Board,It means that cargoes have been physically loaded onto the designated vessel for transportation.
MILITARY & COMMERCIAL TERM,SOC,Shipper Owned Container,"It refers to a shipping container that is owned by the individual or company shipping the goods, rather than being owned or leased by the shipping line."
MILITARY & COMMERCIAL TERM,SOF,Statement of Facts,"It is a crucial document that logs all events during a ship's stay in port, including arrival, departure, cargo operations, weather conditions, and delays."
MILITARY & COMMERCIAL TERM,SOLAS,Safety of Life at Sea Convention,"It is a crucial treaty that sets minimum safety standards for the construction, equipment, and operation of merchant ships, primarily focusing on preventing shipwrecks and minimizing loss of life at sea."
COMMERCIAL TERM,STC,Said to Contain,"This phrase is used on shipping documents, particularly bills of lading, to indicate that the carrier is relying on the shipper's description of the goods rather than independently verifying it."
COMMERCIAL TERM,STW,Said to Weigh,This notation indicates that the carrier is not responsible for the accuracy of the declared weight of the shipment.
COMMERCIAL TERM,T/S,Transshipment,It refers to the process of transferring cargo from one ship to another at an intermediate port during its journey to the final destination.
MILITARY TERM,TAC,Transportation Account Code,"These are used in the shipping and transportation process to link movement authority, funding approval, and accounting data for shipments of cargo and personal property in the Defense Transportation System."
MILITARY TERM,TAN,Trans Arabian Network,It is a US military logistics and transportation network in the Middle East.
MILITARY TERM,TCN,Transportation Control Number,It is a unique identifier assigned to a shipment for tracking and accountability purposes throughout its journey.
MILITARY TERM,TDR,Transportation Discrepancy Report,"This document is used to report issues with shipments such as loss, shortage, or damage to Government material to support the filing of claims."
COMMERCIAL TERM,TEU,Twenty Foot Equivalent Unit,"It is a unit of measurement used to describe the capacity of container ships and terminals, based on the standard 20-foot shipping container."
MILITARY & COMMERCIAL TERM,THC,Terminal Handling Charge,"These charges are levied by terminal operators for the handling of cargo at a port, including loading, unloading, and storage."
MILITARY & COMMERCIAL TERM,TLX,Telex Release,It is an electronic message that allows a shipping carrier to release goods to the consignee without the original bill of lading.
MILITARY TERM,TMR,Transportation Movement Requests,"It is a formal document used to initiate the process of moving supplies or personnel, transforming an initial transportation request into a concrete plan for shipment."
COMMERCIAL TERM,TOS,Terms of Shipment,It refers to the agreed-upon conditions between a seller and a buyer outlining the responsibilities and obligations for the delivery of goods.
MILITARY TERM,TRANSCOM,United States Transportation Command,"It is a unified, functional combatant command responsible for global air, land, and sea transportation."
MILITARY TERM,TSC,Theater Sustainment Command,This is a U.S. Army logistics headquarters responsible for providing sustainment support within a specific geographic theater of operations.
COMMERCIAL TERM,TT,Transit Time,It is the total time it takes for a shipment to travel from its origin point to its final destination.
MILITARY TERM,ULN,Unit Line Number,"It is a unique alphanumeric code, typically seven characters long, used to identify a specific increment of a unit's deployment."
MILITARY & COMMERCIAL TERM,UOM,Unit of Measure,"It defines the standard physical units for tracking and managing inventory, such as cases, pallets, feet, gallons, or pounds."
MILITARY TERM,USC,Universal Service Contract,It is a contract that enables the Military Surface Deployment and Distribution Command (SDDC) to fulfill its mission by facilitating the movement of DTS cargo when ocean transport is required.
MILITARY & COMMERCIAL TERM,VAT,Value Added Tax,"It is an additional tax on imported goods, applied at every step of the supply chain - from raw materials to manufacturing and the sale of goods."
MILITARY & COMMERCIAL TERM,VDN,Voyage Document Number,It identifies the geographical area in which cargo is loaded on each voyage of a vessel.
MILITARY & COMMERCIAL TERM,VGM,Verified Gross Mass,"It is the total weight of a packed shipping container, including the cargo, dunnage, and the container's tare weight (empty weight)."
MILITARY & COMMERCIAL TERM,VIN,Vehicle Identification Number,"It is a unique 17-character alphanumeric code assigned to each vehicle, acting as its unique identifier."
MILITARY & COMMERCIAL TERM,VOL,Volume,"It refers to the amount of space that cargo occupies, typically measured in cubic units like cubic meters or cubic feet."
MILITARY & COMMERCIAL TERM,VSL,Vessel,"It is a broad term encompassing any type of watercraft, including ships, boats, and other floating structures, used for transportation on water."
MILITARY & COMMERCIAL TERM,W/M,Weight and/or Measurement,This is a common term used to determine freight charges which indicates that the shipping cost will be based on whichever yields a higher revenue: the actual weight of the shipment or its volume.
MILITARY & COMMERCIAL TERM,WB,Waybill,"It is a non-negotiable document that serves as a receipt for goods being shipped, outlining the details of the shipment and the terms of the transportation contract between the shipper and the carrier."
MILITARY & COMMERCIAL TERM,WRS,War Risk Surcharge,"It is an additional fee applied by shipping carriers to cover the increased costs associated with navigating areas of actual or potential war conflict, civil unrest, or piracy."
MILITARY & COMMERCIAL TERM,DFL,Duty Fee Letter,It refers to the notification and payment process for customs duties and import taxes that the recipient of an international shipment is responsible for paying.
MILITARY & COMMERCIAL TERM,ASYCUDA,Automated System for Customs Data,It is a computerized customs management system that covers most foreign trade procedures. It handles manifests and customs declarations.
MILITARY & COMMERCIAL TERM,RFI,Request for Information,"It is a formal, structured document sent by a customer to a supplier or service provider to gather general information about potential products, services, or capabilities."
MILITARY TERM,RFID,Radio Frequency Identification,It is a wireless technology that uses radio waves to automatically identify and track objects by capturing data from a tag using a reader.
MILITARY TERM,BVN,Best Value Number,"It refers to a scoring system used for awarding commercial service contracts, such as household goods moving, based on a combination of cost and performance."
